"ENSG","padj","gene"
"ENSG00000008128",NA,"CDK11A"
"ENSG00000008130",NA,"NADK"
"ENSG00000008196",NA,"TFAP2B"
"ENSG00000008197",NA,"TFAP2D"
"ENSG00000008226",NA,"DLEC1"
"ENSG00000008256",NA,"CYTH3"
"ENSG00000008277",NA,"ADAM22"
"ENSG00000008282",NA,"SYPL1"
"ENSG00000008283",NA,"CYB561"
"ENSG00000008294",NA,"SPAG9"
"ENSG00000008300",NA,"CELSR3"
"ENSG00000008311",NA,"AASS"
"ENSG00000008323",NA,"PLEKHG6"
"ENSG00000008324",NA,"SS18L2"
"ENSG00000008382",NA,"MPND"
"ENSG00000008394",NA,"MGST1"
"ENSG00000008405",NA,"CRY1"
"ENSG00000008438",NA,"PGLYRP1"
"ENSG00000008441",NA,"NFIX"
"ENSG00000008513",NA,"ST3GAL1"
"ENSG00000008516",NA,"MMP25"
"ENSG00000008517",NA,"IL32"
"ENSG00000008710",NA,"PKD1"
"ENSG00000008735",NA,"MAPK8IP2"
"ENSG00000008838",NA,"MED24"
"ENSG00000008853",NA,"RHOBTB2"
"ENSG00000008869",NA,"HEATR5B"
"ENSG00000008952",NA,"SEC62"
"ENSG00000008988",NA,"RPS20"
"ENSG00000009307",NA,"CSDE1"
"ENSG00000009335",NA,"UBE3C"
"ENSG00000009413",NA,"REV3L"
"ENSG00000009694",NA,"TENM1"
"ENSG00000009709",NA,"PAX7"
"ENSG00000009724",NA,"MASP2"
"ENSG00000009765",NA,"IYD"
"ENSG00000009780",NA,"FAM76A"
"ENSG00000009790",NA,"TRAF3IP3"
"ENSG00000009830",NA,"POMT2"
"ENSG00000009844",NA,"VTA1"
"ENSG00000009950",NA,"MLXIPL"
"ENSG00000009954",NA,"BAZ1B"
"ENSG00000010017",NA,"RANBP9"
"ENSG00000010030",NA,"ETV7"
"ENSG00000010072",NA,"SPRTN"
"ENSG00000010165",NA,"EEF1AKNMT"
"ENSG00000010219",NA,"DYRK4"
"ENSG00000010244",NA,"ZNF207"
"ENSG00000010256",NA,"UQCRC1"
"ENSG00000010270",NA,"STARD3NL"
"ENSG00000010278",NA,"CD9"
"ENSG00000010282",NA,"HHATL"
"ENSG00000010292",NA,"NCAPD2"
"ENSG00000010295",NA,"IFFO1"
"ENSG00000010310",NA,"GIPR"
"ENSG00000010318",NA,"PHF7"
"ENSG00000010319",NA,"SEMA3G"
"ENSG00000010322",NA,"NISCH"
"ENSG00000010327",NA,"STAB1"
"ENSG00000010361",NA,"FUZ"
"ENSG00000010379",NA,"SLC6A13"
"ENSG00000010404",NA,"IDS"
"ENSG00000010438",NA,"PRSS3"
"ENSG00000010539",NA,"ZNF200"
"ENSG00000010610",NA,"CD4"
"ENSG00000010626",NA,"LRRC23"
"ENSG00000010671",NA,"BTK"
"ENSG00000010704",NA,"HFE"
"ENSG00000010803",NA,"SCMH1"
"ENSG00000010810",NA,"FYN"
"ENSG00000010818",NA,"HIVEP2"
"ENSG00000010932",NA,"FMO1"
"ENSG00000011007",NA,"ELOA"
"ENSG00000011009",NA,"LYPLA2"
"ENSG00000011021",NA,"CLCN6"
"ENSG00000011028",NA,"AC080038.1"
"ENSG00000011052",NA,"NME1-NME2"
"ENSG00000011083",NA,"SLC6A7"
"ENSG00000011105",NA,"TSPAN9"
"ENSG00000011114",NA,"BTBD7"
"ENSG00000011132",NA,"APBA3"
"ENSG00000011143",NA,"MKS1"
"ENSG00000011198",NA,"ABHD5"
"ENSG00000011201",NA,"ANOS1"
"ENSG00000011243",NA,"AKAP8L"
"ENSG00000011258",NA,"MBTD1"
"ENSG00000011260",NA,"UTP18"
"ENSG00000011275",NA,"RNF216"
"ENSG00000011295",NA,"TTC19"
"ENSG00000011304",NA,"PTBP1"
"ENSG00000011332",NA,"DPF1"
"ENSG00000011347",NA,"SYT7"
"ENSG00000011376",NA,"LARS2"
"ENSG00000011405",NA,"PIK3C2A"
"ENSG00000011422",NA,"PLAUR"
"ENSG00000011426",NA,"ANLN"
"ENSG00000011451",NA,"WIZ"
"ENSG00000011454",NA,"RABGAP1"
"ENSG00000011465",NA,"DCN"
"ENSG00000011478",NA,"QPCTL"
"ENSG00000011485",NA,"PPP5C"
"ENSG00000011523",NA,"CEP68"
"ENSG00000011566",NA,"MAP4K3"
"ENSG00000011590",NA,"ZBTB32"
"ENSG00000011600",NA,"TYROBP"
"ENSG00000011638",NA,"TMEM159"
"ENSG00000011677",NA,"GABRA3"
"ENSG00000012048",NA,"BRCA1"
"ENSG00000012061",NA,"ERCC1"
"ENSG00000012124",NA,"CD22"
"ENSG00000012171",NA,"SEMA3B"
"ENSG00000012174",NA,"MBTPS2"
"ENSG00000012211",NA,"PRICKLE3"
"ENSG00000012223",NA,"LTF"
"ENSG00000012232",NA,"EXTL3"
"ENSG00000012504",NA,"NR1H4"
"ENSG00000012660",NA,"ELOVL5"
"ENSG00000012779",NA,"ALOX5"
"ENSG00000012817",NA,"KDM5D"
"ENSG00000012822",NA,"CALCOCO1"
"ENSG00000012963",NA,"UBR7"
"ENSG00000012983",NA,"MAP4K5"
"ENSG00000013016",NA,"EHD3"
"ENSG00000013275",NA,"PSMC4"
"ENSG00000013288",NA,"MAN2B2"
"ENSG00000013293",NA,"SLC7A14"
"ENSG00000013297",NA,"CLDN11"
"ENSG00000013306",NA,"SLC25A39"
"ENSG00000013364",NA,"MVP"
"ENSG00000013374",NA,"NUB1"
"ENSG00000013375",NA,"PGM3"
"ENSG00000013392",NA,"RWDD2A"
"ENSG00000013441",NA,"CLK1"
"ENSG00000013503",NA,"POLR3B"
"ENSG00000013523",NA,"ANGEL1"
"ENSG00000013561",NA,"RNF14"
"ENSG00000013563",NA,"DNASE1L1"
"ENSG00000013573",NA,"DDX11"
"ENSG00000013583",NA,"HEBP1"
"ENSG00000013588",NA,"GPRC5A"
"ENSG00000013619",NA,"MAMLD1"
"ENSG00000013725",NA,"CD6"
"ENSG00000013810",NA,"TACC3"
"ENSG00000014123",NA,"UFL1"
"ENSG00000014138",NA,"POLA2"
"ENSG00000014164",NA,"ZC3H3"
"ENSG00000014216",NA,"CAPN1"
"ENSG00000014257",NA,"ACPP"
"ENSG00000014641",NA,"MDH1"
"ENSG00000014824",NA,"SLC30A9"
"ENSG00000014914",NA,"MTMR11"
"ENSG00000014919",NA,"COX15"
"ENSG00000015133",NA,"CCDC88C"
"ENSG00000015153",NA,"YAF2"
"ENSG00000015171",NA,"ZMYND11"
"ENSG00000015285",NA,"WAS"
"ENSG00000015413",NA,"DPEP1"
"ENSG00000015475",NA,"BID"
"ENSG00000015479",NA,"MATR3"
"ENSG00000015520",NA,"NPC1L1"
"ENSG00000015532",NA,"XYLT2"
"ENSG00000015568",NA,"RGPD5"
"ENSG00000015592",NA,"STMN4"
"ENSG00000015676",NA,"NUDCD3"
"ENSG00000016082",NA,"ISL1"
"ENSG00000016391",NA,"CHDH"
"ENSG00000016402",NA,"IL20RA"
"ENSG00000016490",NA,"CLCA1"
"ENSG00000016602",NA,"CLCA4"
"ENSG00000016864",NA,"GLT8D1"
"ENSG00000017260",NA,"ATP2C1"
"ENSG00000017427",NA,"IGF1"
"ENSG00000017483",NA,"SLC38A5"
"ENSG00000017797",NA,"RALBP1"
"ENSG00000018189",NA,"RUFY3"
"ENSG00000018236",NA,"CNTN1"
"ENSG00000018280",NA,"SLC11A1"
"ENSG00000018408",NA,"WWTR1"
"ENSG00000018510",NA,"AGPS"
"ENSG00000018610",NA,"CXorf56"
"ENSG00000018625",NA,"ATP1A2"
"ENSG00000018699",NA,"TTC27"
"ENSG00000018869",NA,"ZNF582"
"ENSG00000019102",NA,"VSIG2"
"ENSG00000019144",NA,"PHLDB1"
"ENSG00000019169",NA,"MARCO"
"ENSG00000019186",NA,"CYP24A1"
"ENSG00000019485",NA,"PRDM11"
"ENSG00000019505",NA,"SYT13"
"ENSG00000019549",NA,"SNAI2"
"ENSG00000019582",NA,"CD74"
"ENSG00000019991",NA,"HGF"
"ENSG00000019995",NA,"ZRANB1"
"ENSG00000020129",NA,"NCDN"
"ENSG00000020181",NA,"ADGRA2"
"ENSG00000020256",NA,"ZFP64"
"ENSG00000020426",NA,"MNAT1"
"ENSG00000020577",NA,"SAMD4A"
"ENSG00000020633",NA,"RUNX3"
"ENSG00000020922",NA,"MRE11"
"ENSG00000021300",NA,"PLEKHB1"
"ENSG00000021355",NA,"SERPINB1"
"ENSG00000021461",NA,"CYP3A43"
"ENSG00000021488",NA,"SLC7A9"
"ENSG00000021574",NA,"SPAST"
"ENSG00000021645",NA,"NRXN3"
"ENSG00000021762",NA,"OSBPL5"
"ENSG00000021776",NA,"AQR"
"ENSG00000021826",NA,"CPS1"
"ENSG00000021852",NA,"C8B"
"ENSG00000022267",NA,"FHL1"
"ENSG00000022277",NA,"RTF2"
"ENSG00000022355",NA,"GABRA1"
"ENSG00000022556",NA,"NLRP2"
"ENSG00000022567",NA,"SLC45A4"
"ENSG00000022840",NA,"RNF10"
"ENSG00000022976",NA,"ZNF839"
"ENSG00000023041",NA,"ZDHHC6"
"ENSG00000023171",NA,"GRAMD1B"
"ENSG00000023191",NA,"RNH1"
"ENSG00000023228",NA,"NDUFS1"
"ENSG00000023287",NA,"RB1CC1"
"ENSG00000023318",NA,"ERP44"
"ENSG00000023330",NA,"ALAS1"
"ENSG00000023445",NA,"BIRC3"
"ENSG00000023516",NA,"AKAP11"
"ENSG00000023572",NA,"GLRX2"
"ENSG00000023608",NA,"SNAPC1"
"ENSG00000023697",NA,"DERA"
"ENSG00000023734",NA,"STRAP"
"ENSG00000023839",NA,"ABCC2"
"ENSG00000023892",NA,"DEF6"
"ENSG00000023902",NA,"PLEKHO1"
"ENSG00000023909",NA,"GCLM"
"ENSG00000024048",NA,"UBR2"
"ENSG00000024422",NA,"EHD2"
"ENSG00000024526",NA,"DEPDC1"
"ENSG00000024862",NA,"CCDC28A"
"ENSG00000025039",NA,"RRAGD"
"ENSG00000025156",NA,"HSF2"
"ENSG00000025293",NA,"PHF20"
"ENSG00000025423",NA,"HSD17B6"
"ENSG00000025434",NA,"NR1H3"
"ENSG00000025708",NA,"TYMP"
"ENSG00000025770",NA,"NCAPH2"
"ENSG00000025772",NA,"TOMM34"
"ENSG00000025796",NA,"SEC63"
"ENSG00000025800",NA,"KPNA6"
"ENSG00000026025",NA,"VIM"
"ENSG00000026036",NA,"RTEL1-TNFRSF6B"
"ENSG00000026103",NA,"FAS"
"ENSG00000026297",NA,"RNASET2"
"ENSG00000026508",NA,"CD44"
"ENSG00000026559",NA,"KCNG1"
"ENSG00000026652",NA,"AGPAT4"
"ENSG00000026751",NA,"SLAMF7"
"ENSG00000026950",NA,"BTN3A1"
"ENSG00000027001",NA,"MIPEP"
"ENSG00000027075",NA,"PRKCH"
"ENSG00000027644",NA,"INSRR"
"ENSG00000027697",NA,"IFNGR1"
"ENSG00000027847",NA,"B4GALT7"
"ENSG00000027869",NA,"SH2D2A"
"ENSG00000028116",NA,"VRK2"
"ENSG00000028137",NA,"TNFRSF1B"
"ENSG00000028203",NA,"VEZT"
"ENSG00000028277",NA,"POU2F2"
"ENSG00000028310",NA,"BRD9"
"ENSG00000028528",NA,"SNX1"
"ENSG00000028839",NA,"TBPL1"
"ENSG00000029153",NA,"ARNTL2"
"ENSG00000029363",NA,"BCLAF1"
"ENSG00000029364",NA,"SLC39A9"
"ENSG00000029534",NA,"ANK1"
"ENSG00000029559",NA,"IBSP"
"ENSG00000029639",NA,"TFB1M"
"ENSG00000029725",NA,"RABEP1"
"ENSG00000029993",NA,"HMGB3"
"ENSG00000030066",NA,"NUP160"
"ENSG00000030110",NA,"BAK1"
"ENSG00000030304",NA,"MUSK"
"ENSG00000030419",NA,"IKZF2"
"ENSG00000030582",NA,"GRN"
"ENSG00000031003",NA,"FAM13B"
"ENSG00000031081",NA,"ARHGAP31"
"ENSG00000031691",NA,"CENPQ"
"ENSG00000031698",NA,"SARS"
"ENSG00000031823",NA,"RANBP3"
"ENSG00000032219",NA,"ARID4A"
"ENSG00000032389",NA,"EIPR1"
"ENSG00000032444",NA,"PNPLA6"
"ENSG00000032742",NA,"IFT88"
"ENSG00000033011",NA,"ALG1"
"ENSG00000033030",NA,"ZCCHC8"
"ENSG00000033050",NA,"ABCF2"
"ENSG00000033100",NA,"CHPF2"
"ENSG00000033122",NA,"LRRC7"
"ENSG00000033170",NA,"FUT8"
"ENSG00000033178",NA,"UBA6"
"ENSG00000033327",NA,"GAB2"
"ENSG00000033627",NA,"ATP6V0A1"
"ENSG00000033800",NA,"PIAS1"
"ENSG00000033867",NA,"SLC4A7"
"ENSG00000034053",NA,"APBA2"
"ENSG00000034152",NA,"MAP2K3"
"ENSG00000034239",NA,"EFCAB1"
"ENSG00000034510",NA,"TMSB10"
"ENSG00000034533",NA,"ASTE1"
"ENSG00000034677",NA,"RNF19A"
"ENSG00000034693",NA,"PEX3"
"ENSG00000034713",NA,"GABARAPL2"
"ENSG00000034971",NA,"MYOC"
"ENSG00000035115",NA,"SH3YL1"
"ENSG00000035141",NA,"FAM136A"
"ENSG00000035403",NA,"VCL"
"ENSG00000035499",NA,"DEPDC1B"
"ENSG00000035664",NA,"DAPK2"
"ENSG00000035681",NA,"NSMAF"
"ENSG00000035687",NA,"ADSS"
"ENSG00000035720",NA,"STAP1"
"ENSG00000035862",NA,"TIMP2"
"ENSG00000035928",NA,"RFC1"
"ENSG00000036054",NA,"TBC1D23"
"ENSG00000036257",NA,"CUL3"
"ENSG00000036448",NA,"MYOM2"
"ENSG00000036473",NA,"OTC"
"ENSG00000036530",NA,"CYP46A1"
"ENSG00000036549",NA,"AC118549.1"
"ENSG00000036565",NA,"SLC18A1"
"ENSG00000036672",NA,"USP2"
"ENSG00000036828",NA,"CASR"
"ENSG00000037042",NA,"TUBG2"
"ENSG00000037241",NA,"RPL26L1"
"ENSG00000037280",NA,"FLT4"
"ENSG00000037474",NA,"NSUN2"
"ENSG00000037637",NA,"FBXO42"
"ENSG00000037749",NA,"MFAP3"
"ENSG00000037757",NA,"MRI1"
"ENSG00000037897",NA,"METTL1"
"ENSG00000037965",NA,"HOXC8"
"ENSG00000038002",NA,"AGA"
"ENSG00000038210",NA,"PI4K2B"
"ENSG00000038219",NA,"BOD1L1"
"ENSG00000038274",NA,"MAT2B"
"ENSG00000038295",NA,"TLL1"
"ENSG00000038358",NA,"EDC4"
"ENSG00000038382",NA,"TRIO"
"ENSG00000038427",NA,"VCAN"
"ENSG00000038532",NA,"CLEC16A"
"ENSG00000038945",NA,"MSR1"
"ENSG00000039068",NA,"CDH1"
"ENSG00000039123",NA,"MTREX"
"ENSG00000039139",NA,"DNAH5"
"ENSG00000039319",NA,"ZFYVE16"
"ENSG00000039523",NA,"RIPOR1"
"ENSG00000039537",NA,"C6"
"ENSG00000039560",NA,"RAI14"
"ENSG00000039600",NA,"SOX30"
"ENSG00000039650",NA,"PNKP"
"ENSG00000039987",NA,"BEST2"
"ENSG00000040199",NA,"PHLPP2"
"ENSG00000040275",NA,"SPDL1"
"ENSG00000040341",NA,"STAU2"
"ENSG00000040487",NA,"PQLC2"
"ENSG00000040531",NA,"CTNS"
"ENSG00000040608",NA,"RTN4R"
"ENSG00000040633",NA,"PHF23"
"ENSG00000040731",NA,"CDH10"
"ENSG00000040933",NA,"INPP4A"
"ENSG00000041353",NA,"RAB27B"
"ENSG00000041357",NA,"PSMA4"
"ENSG00000041515",NA,"MYO16"
"ENSG00000041802",NA,"LSG1"
"ENSG00000041880",NA,"PARP3"
"ENSG00000041982",NA,"TNC"
"ENSG00000041988",NA,"THAP3"
"ENSG00000042062",NA,"RIPOR3"
"ENSG00000042088",NA,"TDP1"
"ENSG00000042286",NA,"AIFM2"
"ENSG00000042317",NA,"SPATA7"
"ENSG00000042429",NA,"MED17"
"ENSG00000042445",NA,"RETSAT"
"ENSG00000042493",NA,"CAPG"
"ENSG00000042753",NA,"AP2S1"
"ENSG00000042781",NA,"USH2A"
"ENSG00000042813",NA,"ZPBP"
"ENSG00000042832",NA,"TG"
"ENSG00000042980",NA,"ADAM28"
"ENSG00000043039",NA,"BARX2"
"ENSG00000043093",NA,"DCUN1D1"
"ENSG00000043143",NA,"JADE2"
"ENSG00000043355",NA,"ZIC2"
"ENSG00000043462",NA,"LCP2"
"ENSG00000043514",NA,"TRIT1"
"ENSG00000043591",NA,"ADRB1"
"ENSG00000044012",NA,"GUCA2B"
"ENSG00000044090",NA,"CUL7"
"ENSG00000044115",NA,"CTNNA1"
"ENSG00000044446",NA,"PHKA2"
"ENSG00000044459",NA,"CNTLN"
"ENSG00000044524",NA,"EPHA3"
"ENSG00000044574",NA,"HSPA5"
"ENSG00000046604",NA,"DSG2"
"ENSG00000046647",NA,"GEMIN8"
"ENSG00000046651",NA,"OFD1"
"ENSG00000046653",NA,"GPM6B"
"ENSG00000046774",NA,"MAGEC2"
"ENSG00000046889",NA,"PREX2"
"ENSG00000047056",NA,"WDR37"
"ENSG00000047188",NA,"YTHDC2"
"ENSG00000047230",NA,"CTPS2"
"ENSG00000047249",NA,"ATP6V1H"
"ENSG00000047315",NA,"POLR2B"
"ENSG00000047346",NA,"FAM214A"
"ENSG00000047365",NA,"ARAP2"
"ENSG00000047410",NA,"TPR"
"ENSG00000047457",NA,"CP"
"ENSG00000047578",NA,"KIAA0556"
"ENSG00000047579",NA,"DTNBP1"
"ENSG00000047597",NA,"XK"
"ENSG00000047617",NA,"ANO2"
"ENSG00000047621",NA,"C12orf4"
"ENSG00000047634",NA,"SCML1"
"ENSG00000047644",NA,"WWC3"
"ENSG00000047648",NA,"ARHGAP6"
"ENSG00000047662",NA,"FAM184B"
"ENSG00000047849",NA,"MAP4"
"ENSG00000047932",NA,"GOPC"
"ENSG00000047936",NA,"ROS1"
"ENSG00000048028",NA,"USP28"
"ENSG00000048052",NA,"HDAC9"
"ENSG00000048140",NA,"TSPAN17"
"ENSG00000048162",NA,"NOP16"
"ENSG00000048342",NA,"CC2D2A"
"ENSG00000048392",NA,"RRM2B"
"ENSG00000048405",NA,"ZNF800"
"ENSG00000048462",NA,"TNFRSF17"
"ENSG00000048471",NA,"SNX29"
"ENSG00000048540",NA,"LMO3"
"ENSG00000048544",NA,"MRPS10"
"ENSG00000048545",NA,"GUCA1A"
"ENSG00000048649",NA,"RSF1"
"ENSG00000048707",NA,"VPS13D"
"ENSG00000048740",NA,"CELF2"
"ENSG00000048828",NA,"FAM120A"
"ENSG00000048991",NA,"R3HDM1"
"ENSG00000049089",NA,"COL9A2"
"ENSG00000049130",NA,"KITLG"
"ENSG00000049167",NA,"ERCC8"
"ENSG00000049192",NA,"ADAMTS6"
"ENSG00000049239",NA,"H6PD"
"ENSG00000049245",NA,"VAMP3"
"ENSG00000049246",NA,"PER3"
"ENSG00000049247",NA,"UTS2"
"ENSG00000049249",NA,"TNFRSF9"
"ENSG00000049283",NA,"EPN3"
"ENSG00000049323",NA,"LTBP1"
"ENSG00000049449",NA,"RCN1"
"ENSG00000049540",NA,"ELN"
"ENSG00000049541",NA,"RFC2"
"ENSG00000049618",NA,"ARID1B"
"ENSG00000049656",NA,"CLPTM1L"
"ENSG00000049759",NA,"NEDD4L"
"ENSG00000049768",NA,"FOXP3"
"ENSG00000049769",NA,"PPP1R3F"
"ENSG00000049860",NA,"HEXB"
"ENSG00000049883",NA,"PTCD2"
"ENSG00000050030",NA,"NEXMIF"
"ENSG00000050130",NA,"JKAMP"
"ENSG00000050165",NA,"DKK3"
"ENSG00000050327",NA,"ARHGEF5"
"ENSG00000050344",NA,"NFE2L3"
